date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:36	233/-1	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Nov%202015%2015:32:20%20GMT	http://tavern-html.axiomthemes.com/robots.txt		(from )
09:36:36	30389/30389	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:33%20GMT	http://tavern-html.axiomthemes.com/	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/index.html	(from )
09:36:36	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:W/%225658787f-1536%22	http://tavern-html.axiomthemes.com/images/favicon.ico	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/favicon.ico	(from http://tavern-html.axiomthemes.com/)
09:36:36	1719/1719	---M-Z	200	added ('OK')	text/css	etag:W/%22565878e8-c1c%22	http://tavern-html.axiomthemes.com/js/vendor/swiper/idangerous.swiper.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/swiper/idangerous.swiper.css	(from http://tavern-html.axiomthemes.com/)
09:36:37	58226/58226	---M-Z	200	added ('OK')	text/css	etag:W/%2256812026-11fe5%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css	(from http://tavern-html.axiomthemes.com/)
09:36:37	9977/9977	---M-Z	200	added ('OK')	text/css	etag:W/%2256587855-3aad%22	http://tavern-html.axiomthemes.com/css/fontello/css/fontello.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/css/fontello/css/fontello.css	(from http://tavern-html.axiomthemes.com/)
09:36:37	78633/78633	---M-Z	200	added ('OK')	text/css	etag:W/%2256812004-1823a%22	http://tavern-html.axiomthemes.com/css/style.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/css/style.css	(from http://tavern-html.axiomthemes.com/)
09:36:37	51882/51882	---M-Z	200	added ('OK')	text/css	etag:W/%2256619a77-f291%22	http://tavern-html.axiomthemes.com/css/shortcodes.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/css/shortcodes.css	(from http://tavern-html.axiomthemes.com/)
09:36:38	54324/54324	---M-Z	200	added ('OK')	text/css	etag:W/%225658784b-11dbc%22	http://tavern-html.axiomthemes.com/css/core.animation.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/css/core.animation.css	(from http://tavern-html.axiomthemes.com/)
09:36:38	94082/94082	---M-Z	200	added ('OK')	text/css	etag:W/%2256812004-1a901%22	http://tavern-html.axiomthemes.com/css/skin.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/css/skin.css	(from http://tavern-html.axiomthemes.com/)
09:36:38	50360/50360	---M-Z	200	added ('OK')	text/css	etag:W/%225661a5bf-efa3%22	http://tavern-html.axiomthemes.com/css/responsive.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/css/responsive.css	(from http://tavern-html.axiomthemes.com/)
09:36:39	2525/2525	---M-Z	200	added ('OK')	text/css	etag:W/%22565878dc-b56%22	http://tavern-html.axiomthemes.com/js/custom/core.messages/core.messages.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/core.messages/core.messages.css	(from http://tavern-html.axiomthemes.com/)
09:36:39	16175/16175	---M-Z	200	added ('OK')	text/css	etag:W/%225681200e-4a2e%22	http://tavern-html.axiomthemes.com/custom_tools/css/front.customizer.css	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/custom_tools/css/front.customizer.css	(from http://tavern-html.axiomthemes.com/)
09:37:21	251579/251579	---M--	200	added ('OK')	image/png	etag:%2256587896-3d6bb%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-1-top.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-1-top.png	(from http://tavern-html.axiomthemes.com/)
09:37:30	309253/309253	---M--	200	added ('OK')	image/png	etag:%22565878a3-4b805%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-1-left.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-1-left.png	(from http://tavern-html.axiomthemes.com/)
09:37:31	318502/318502	---M--	200	added ('OK')	image/png	etag:%22565878ba-4dc26%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-1-bottom.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-1-bottom.png	(from http://tavern-html.axiomthemes.com/)
